Asset,Work Order,Description Line 1,Description Line 2
"020  -020 - 451, Detached, Built 1967, Rehab 1983","WO- 2,991","Leak in mechanical room,"," Went to 9 Tuktu, copper water line was frozen, after getting warm copper pipe to leak water behind hot water tank, housing repaired on Monday,."
"022  -022 - 451, Detached, Built 1967, Rehab 1983",WO- 509,"Black smoke coming from chimney, call came from Sarah at office."," Had to clean lint from burner and replace nozzle, also cleaned soot from chimney and boiler, checked combustion air."
"023  -023 - 451, Detached, Built 1967, Rehab 1982","WO- 2,840",Furnace smells of soot when going on.,  close for new year
"024  -024 - 451, Detached, Built 1967, Rehab 1982",WO- 195,No heat., Reset control box and tested.
"024  -024 - 451, Detached, Built 1967, Rehab 1982","WO- 2,509",Furnace sounds funny when going on.," Checked furnace, tightened screw on fan assey."
"025  -025 - 451, Detached, Built 1967, Rehab 1983","WO- 1,019",Black smoke coming from chimney., Boiler will be serviced today.
"027  -027 - 451, Detached, Built 1967, Rehab 1983",WO- 399,Pipe on furnace dripping.,"Heating system was going up o pressure, had to drain off pressure to replace relief valve, had to purge air from system and check controls and adjusted also turned on bypass for boiler which was turned off, also had to add glycol to system, bypass valve must be on in this system."
"027  -027 - 451, Detached, Built 1967, Rehab 1983",WO- 840,No heat.," Checked boiler, all normal.  Closed by-pass valve that should not be open, heat came through."
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 1,047",Not enough heat., Check and replace plugged air filter's.
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 1,194",No heat in unit., Ran out of fuel and had to bleed pmp to water heater.
"030  -030 - 451, Detached, Built 1967, Rehab 1983",WO- 648,"Check furnace, black smoke coming out of furnace.","Boiler was completely plugged, cleaned boiler and put back into service."
"031  -031 - 451, Detached, Built 1967, Burnt 1997",WO- 163,No heat coming from furnace., Changed furnace filter.
"034  -034 - 455, Detached, Built 1968, Rehab 1982","WO- 2,567",No heat.," Replaced mother board and snap disc but ne power to burner, will need an electrician in the morning."
